Año,Periodo,inflacion
2015,Julio,2.32
2015,Agosto,1.96
2015,Septiembre,1.88
2015,Octubre,2.23
2015,Noviembre,2.51
2015,Diciembre,3.07
2016,Enero,4.38
2016,Febrero,4.27
2016,Marzo,4.26
2016,Abril,4.09
2016,Mayo,4.36
2016,Junio,4.43
2016,Julio,4.62
2016,Agosto,4.74
2016,Septiembre,4.56
2016,Octubre,4.76
2016,Noviembre,4.67
2016,Diciembre,4.23
2017,Enero,3.83
2017,Febrero,3.96
2017,Marzo,4
2017,Abril,4.09
2017,Mayo,3.93
2017,Junio,4.36
2017,Julio,5.22
2017,Agosto,4.72
2017,Septiembre,4.36
2017,Octubre,4.2
2017,Noviembre,4.69
2017,Diciembre,5.68
2018,Enero,4.71
2018,Febrero,4.15
2018,Marzo,4.14
2018,Abril,3.92
2018,Mayo,4.09
2018,Junio,3.79
2018,Julio,2.61
2018,Agosto,3.36
2018,Septiembre,4.55
2018,Octubre,4.34
2018,Noviembre,3.15
2018,Diciembre,2.31
2019,Enero,4.1
2019,Febrero,4.46
2019,Marzo,4.17
2019,Abril,4.75
2019,Mayo,4.54
2019,Junio,4.8
2019,Julio,4.37
2019,Agosto,3.01
2019,Septiembre,1.8
2019,Octubre,2.17
2019,Noviembre,2.92
2019,Diciembre,3.41
2020,Enero,1.78
2020,Febrero,1.24
2020,Marzo,1.77
2020,Abril,1.88
2020,Mayo,1.8
2020,Junio,2.39
2020,Julio,2.88
2020,Agosto,4.19
2020,Septiembre,4.97
2020,Octubre,5.34
2020,Noviembre,5.46
2020,Diciembre,4.82
2021,Enero,5.24
2021,Febrero,6
2021,Marzo,5.84
2021,Abril,5.2
2021,Mayo,5.17
2021,Junio,3.91
2021,Julio,3.82
2021,Agosto,3.62
2021,Septiembre,3.67
2021,Octubre,2.96
2021,Noviembre,2.89
2021,Diciembre,3.07
2022,Enero,2.87
2022,Febrero,2.98
2022,Marzo,4.17
2022,Abril,4.62
2022,Mayo,5.82
2022,Junio,7.55
2022,Julio,8.36
2022,Agosto,8.87
2022,Septiembre,9.03
2022,Octubre,9.7
2022,Noviembre,9.17
2022,Diciembre,9.24
